disease,symptoms,tests,specialist to Consult,urgency 
Influenza,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
COVID-19,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Lyme disease,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Bacterial meningitis,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Viral meningitis,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Typhoid fever,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Cholera,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Pertussis,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Tetanus,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Brucellosis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Leprosy,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Rheumatic fever,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Legionnaires disease,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Endocarditis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
C. difficile infection,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Recurrent Lyme disease (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Drug-induced Rheumatic fever (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Post-infectious Tuberculosis (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Chronic C. difficile infection (with secondary infection),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Subacute Dengue fever (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Dengue fever (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Acute Cellulitis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Urinary tract infection (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Recurrent Bacterial meningitis (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Subacute COVID-19 (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Dengue fever (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Influenza (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Severe Leprosy,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Influenza (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Fulminant C. difficile infection (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Chronic Leprosy (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Post-infectious Hepatitis C,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Mild Viral meningitis (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild Pneumonia (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Chronic Leprosy (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Post-infectious Lyme disease (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Malaria,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Mild Brucellosis (with obstruction),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Chronic Dengue fever (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Fulminant Influenza (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Urinary tract infection (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Acute Influenza (with metastasis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Severe Cellulitis (with obstruction),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Mild Endocarditis (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Severe Cholera (with secondary infection),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced C. difficile infection (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Fulminant Viral meningitis (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Acute Rheumatic fever (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Post-infectious Typhoid fever (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Mild Lyme disease (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Chronic Tetanus (with hemorrhage),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Acute Dengue fever (complicated by sepsis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Chronic Cholera (with hemorrhage),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Severe Bacterial meningitis (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Drug-induced Lyme disease (with metastasis),"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Drug-induced Malaria (with secondary infection),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Post-infectious Endocarditis (complicated by sepsis),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Emergency
Chronic Urinary tract infection (with obstruction),"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
